Council,Name,Office,Note
1966-1967,Robert Knecht,Mayor,
1966-1967,Charles Haertling,,
1966-1967,R. C. Mercure Jr.,,
1966-1967,George Raymond Joyce,,
1966-1967,Howard Klemme,,
1966-1967,Janet Roberts,,
1966-1967,Joel Davis,,
1966-1967,Les Newkirk,,
1966-1967,Michael Trent,,
1968-1969,Robert Knecht,Mayor,
1968-1969,Charles Haertling,,
1968-1969,G. Raymond Joyce,,
1968-1969,Howard Klemme,,
1968-1969,James Bowers,,
1968-1969,Joel Davis,,
1968-1969,John Buechner,,
1968-1969,Les Newkirk,,
1968-1969,Michael Trent,,
1970-1972,Robert Knecht,Mayor,
1970-1972,Charles Haertling,,
1970-1972,Dwayne Nuzum,,
1970-1972,Howard Klemme,,
1970-1972,James Bowers,,
1970-1972,John Buechner,,
1970-1972,Richard Geesaman,,
1970-1972,Richard McLean,,
1970-1972,Thomas Waugh,,
1972-1973,Richard McLean,Mayor,
1972-1973,Dwayne Nuzum,,
1972-1973,Janet Roberts,,
1972-1973,Karen Paget,,
1972-1973,Kenneth Wright,,
1972-1973,Penfield Tate II,,
1972-1973,Richard Geesaman,,
1972-1973,Roth Correll,,
1972-1973,Timothy Fuller,,
1974-1975,Karen Paget,Deputy Mayor,
1974-1975,Frank Buchanan,,
1974-1975,Janet Roberts,,
1974-1975,Kenneth Wright,,
1974-1975,Penfield Tate II,Mayor,
1974-1975,Robert Trenka,,
1974-1975,Ruth Correll,,
1974-1975,Timothy Fuller,,
1974-1975,Walter Slack,,
1976-1977,Ruth Correll,Mayor,
1976-1977,Frank Buchanan,,
1976-1977,George Boland,,
1976-1977,Greg Lefferdink,,
1976-1977,J. Wayne Hutchens,,
1976-1977,Janet Roberts,,
1976-1977,Paul Danish,,
1976-1977,Robert Trenka,,
1976-1977,Robert White,,
1978-1979,Ruth Correll,Mayor,
1978-1979,Robert White,Deputy Mayor,
1978-1979,George Boland,,
1978-1979,Greg Lefferdink,,
1978-1979,Gwen Dooley,,
1978-1979,J. Wayne Hutchens,,
1978-1979,Linda Jourgensen,,
1978-1979,Paul Danish,,
1978-1979,Robert Trenka,,
1980-1981,Ruth Correll,Mayor,
1980-1981,Linda Jourgensen,Deputy Mayor,
1980-1981,Annette Anderson,,
1980-1981,Beverly Sears,,
1980-1981,George Boland,,
1980-1981,Greg Lefferdink,,
1980-1981,Gwen Dooley,,
1980-1981,Paul Danish,,
1980-1981,Richard Meckley,,
1982-1983,Ruth Correll,Mayor,
1982-1983,Linda Jourgensen,Deputy Mayor,
1982-1983,Annette Anderson,,
1982-1983,Bev Sears,,
1982-1983,Greg Lefferdink,,
1982-1983,Homer Page,,
1982-1983,Philip Stern,,
1982-1983,Robert Greenlee,,
1982-1983,Spenser Havlick,,
1984-1985,Ruth Correll,Mayor,
1984-1985,Linda Jourgensen,Deputy Mayor,
1984-1985,Annette Anderson,,
1984-1985,Beverly Sears,,
1984-1985,Homer Page,,
1984-1985,Philip Stern,,
1984-1985,Robert Greenlee,,
1984-1985,Roger Olson,,
1984-1985,Spenser Havlick,,
1986,Linda Jourgensen,Mayor,
1986,Homer Page,Deputy Mayor,
1986,Annette Anderson,,
1986,Beverly Sears,,
1986,Cynthia Carlisle,,
1986,Philip Stern,,
1986,Robert Greenlee,,
1986,Spenser Havlick,,
1986,Stephen Pomerance,,
1988,Linda Jourgensen,Mayor,
1988,Homer Page,Deputy Mayor,
1988,Annette Anderson,,
1988,Matthew Appelbaum,,
1988,Robert Greenlee,,
1988,Cynthia Carlisle,,
1988,Sally Martin,,
1988,Spenser Havlick,,
1988,Stephen Pomerance,,
1989,Linda Jourgensen,Mayor,
1989,Annette Anderson,Deputy Mayor,
1989,Cynthia Carlisle,,
1989,Leslie Durgin,,
1989,Matthew Appelbaum,,
1989,Robert Greenlee,,
1989,Sally Martin,,
1989,Spenser Havlick,,
1989,Stephen Pomerance,,
1992-1993,Leslie Durgin,Mayor,
1992-1993,Matthew Appelbaum,Deputy Mayor,
1992-1993,Allyn Feinberg,,
1992-1993,B. J. Miller,,
1992-1993,Dick Harris,,
1992-1993,Robert Greenlee,,
1992-1993,Sally Martin,,
1992-1993,Spenser Havlick,,
1992-1993,Stephen Pomerance,,
1994-1995,Leslie Durgin,Mayor,
1994-1995,Matthew Appelbaum,Deputy Mayor,
1994-1995,Allyn Feinberg,,
1994-1995,B. J. Miller,,
1994-1995,Gary Myre,,
